DATE,EnergyIndex
1970-01-01,43.0869
1970-02-01,42.5577
1970-03-01,41.6215
1970-04-01,40.1982
1970-05-01,39.9321
1970-06-01,41.1847
1970-07-01,43.2230
1970-08-01,44.8138
1970-09-01,43.6007
1970-10-01,40.5467
1970-11-01,40.9385
1970-12-01,42.1117
1971-01-01,44.9517
1971-02-01,44.3696
1971-03-01,42.7548
1971-04-01,41.4234
1971-05-01,40.8295
1971-06-01,43.5488
1971-07-01,45.1876
1971-08-01,46.1091
1971-09-01,45.5050
1971-10-01,43.9496
1971-11-01,44.0030
1971-12-01,45.6054
1972-01-01,48.8392
1972-02-01,50.0191
1972-03-01,47.8421
1972-04-01,44.5127
1972-05-01,42.1061
1972-06-01,43.8217
1972-07-01,45.3964
1972-08-01,47.9891
1972-09-01,46.8293
1972-10-01,44.6882
1972-11-01,47.1979
1972-12-01,52.1760
1973-01-01,55.9342
1973-02-01,53.9974
1973-03-01,50.5102
1973-04-01,46.8192
1973-05-01,44.9288
1973-06-01,47.4589
1973-07-01,49.3168
1973-08-01,51.0910
1973-09-01,50.0826
1973-10-01,47.0794
1973-11-01,47.8829
1973-12-01,49.7968
1974-01-01,53.8211
1974-02-01,51.6562
1974-03-01,49.7984
1974-04-01,46.8319
1974-05-01,45.4161
1974-06-01,47.1087
1974-07-01,50.7056
1974-08-01,51.7371
1974-09-01,48.6743
1974-10-01,47.1173
1974-11-01,47.7516
1974-12-01,52.9378
1975-01-01,55.6989
1975-02-01,54.4115
1975-03-01,52.1395
1975-04-01,49.3369
1975-05-01,46.1066
1975-06-01,47.3769
1975-07-01,50.5251
1975-08-01,52.2585
1975-09-01,49.4320
1975-10-01,46.7476
1975-11-01,47.7981
1975-12-01,54.4112
1976-01-01,60.6120
1976-02-01,56.9337
1976-03-01,52.9187
1976-04-01,48.7185
1976-05-01,46.6811
1976-06-01,49.2486
1976-07-01,52.0220
1976-08-01,53.3791
1976-09-01,51.1014
1976-10-01,49.1373
1976-11-01,53.2579
1976-12-01,60.8207
1977-01-01,66.1065
1977-02-01,61.3553
1977-03-01,54.9875
1977-04-01,50.5114
1977-05-01,49.3163
1977-06-01,52.3147
1977-07-01,55.7601
1977-08-01,55.9290
1977-09-01,53.2255
1977-10-01,50.7423
1977-11-01,51.8983
1977-12-01,59.5842
1978-01-01,65.4681
1978-02-01,64.4632
1978-03-01,58.7322
1978-04-01,51.4137
1978-05-01,49.9912
1978-06-01,53.1982
1978-07-01,55.5156
1978-08-01,57.5132
1978-09-01,55.0594
1978-10-01,52.1993
1978-11-01,54.0540
1978-12-01,60.7576
1979-01-01,68.7075
1979-02-01,68.1212
1979-03-01,61.3740
1979-04-01,55.2722
1979-05-01,51.4048
1979-06-01,53.2473
1979-07-01,55.4418
1979-08-01,57.6476
1979-09-01,54.2322
1979-10-01,52.7558
1979-11-01,54.6456
1979-12-01,60.0874
1980-01-01,65.3810
1980-02-01,64.7721
1980-03-01,60.8807
1980-04-01,53.1114
1980-05-01,49.7992
1980-06-01,52.4268
1980-07-01,58.5254
1980-08-01,60.4105
1980-09-01,57.7380
1980-10-01,54.7637
1980-11-01,56.4616
1980-12-01,63.4413
1981-01-01,69.2715
1981-02-01,63.6341
1981-03-01,60.1027
1981-04-01,54.1446
1981-05-01,52.2484
1981-06-01,56.4915
1981-07-01,60.6220
1981-08-01,60.6506
1981-09-01,56.3729
1981-10-01,54.6841
1981-11-01,55.7249
1981-12-01,63.4345
1982-01-01,70.6727
1982-02-01,64.2728
1982-03-01,59.7759
1982-04-01,54.1090
1982-05-01,49.8577
1982-06-01,52.7065
1982-07-01,56.6437
1982-08-01,57.1923
1982-09-01,54.0000
1982-10-01,51.7022
1982-11-01,54.0655
1982-12-01,58.7664
1983-01-01,65.9628
1983-02-01,59.1620
1983-03-01,57.3140
1983-04-01,52.9718
1983-05-01,49.1707
1983-06-01,51.7103
1983-07-01,57.9314
1983-08-01,61.5880
1983-09-01,57.8078
1983-10-01,53.7753
1983-11-01,55.7980
1983-12-01,65.6301
1984-01-01,73.2688
1984-02-01,66.2545
1984-03-01,63.2801
1984-04-01,57.4501
1984-05-01,55.1499
1984-06-01,57.9273
1984-07-01,60.6775
1984-08-01,62.3596
1984-09-01,58.0827
1984-10-01,54.7212
1984-11-01,57.1673
1984-12-01,63.3492
1985-01-01,72.6803
1985-02-01,70.8479
1985-03-01,62.6166
1985-04-01,57.6106
1985-05-01,55.4467
1985-06-01,58.2228
1985-07-01,62.7591
1985-08-01,63.3921
1985-09-01,60.7507
1985-10-01,56.4553
1985-11-01,58.1385
1985-12-01,68.8758
1986-01-01,73.4956
1986-02-01,68.1637
1986-03-01,62.3923
1986-04-01,57.1915
1986-05-01,55.9599
1986-06-01,60.0336
1986-07-01,65.9077
1986-08-01,64.6450
1986-09-01,61.1742
1986-10-01,57.6978
1986-11-01,59.4964
1986-12-01,68.3302
1987-01-01,74.0173
1987-02-01,70.2540
1987-03-01,65.7966
1987-04-01,60.3229
1987-05-01,59.0245
1987-06-01,64.0345
1987-07-01,69.0282
1987-08-01,70.2369
1987-09-01,64.2987
1987-10-01,60.5402
1987-11-01,62.6219
1987-12-01,70.7671
1988-01-01,80.0833
1988-02-01,76.3631
1988-03-01,70.4954
1988-04-01,63.4244
1988-05-01,61.5776
1988-06-01,67.2741
1988-07-01,73.1676
1988-08-01,75.9479
1988-09-01,67.7223
1988-10-01,63.4592
1988-11-01,65.2706
1988-12-01,74.0492
1989-01-01,78.1368
1989-02-01,76.8499
1989-03-01,73.5377
1989-04-01,65.2676
1989-05-01,63.8617
1989-06-01,68.6587
1989-07-01,74.2491
1989-08-01,75.2704
1989-09-01,69.5107
1989-10-01,66.0620
1989-11-01,69.2555
1989-12-01,84.4040
