Year,Discharge
1837,6315.937
1838,6015.683
1839,4525.167
1840,5361.574
1841,4267.812
1842,5854.839
1843,5865.558
1844,7050.468
1845,6015.683
1846,5945.988
1847,5114.941
1848,4782.523
1849,5854.839
1850,6085.386
1851,6122.917
1852,7484.757
1853,4358.957
1854,6176.535
1855,4535.89
1856,4337.511
1857,3924.671
1858,4895.117
1859,6224.789
1860,5275.789
1861,4144.496
1862,3238.391
1863,4696.738
1864,5082.773
1865,3436.769
1866,5522.417
1867,5195.363
1868,4466.191
1869,5785.14
1870,6943.238
1871,4777.16
1872,4996.984
1873,4117.687
1874,4326.789
1875,6653.714
1876,6026.406
1877,5286.511
1878,7833.261
1879,5034.515
1880,6680.523
1881,4283.894
1882,6541.121
1883,4846.863
1884,4455.464
1885,5361.574
1886,4267.812
1887,6026.406
1888,4707.46
1889,4514.445
1890,4954.093
1891,5232.894
1892,4605.589
1893,4053.35
1894,6031.769
1895,5334.765
1896,7195.23
1897,4342.875
1898,4541.253
1899,6004.96
1900,4943.371
1901,5785.14
1902,4525.167
1903,4466.191
1904,4905.839
1905,6315.937
1906,6004.96
1907,4224.917
1908,4085.52
1909,6315.937
1910,5232.894
1911,5463.445
1912,6573.289
1913,6192.617
1914,7195.23
1915,7071.917
1916,6112.195
1917,3946.119
1918,6466.058
1919,6240.871
1920,3774.549
1921,4686.015
1922,6074.664
1923,6353.468
1924,4246.363
1925,7270.292
1926,5393.742
1927,4664.566
1928,4643.121
1929,4342.875
1930,5742.246
1931,5661.82
1932,4734.269
1933,4884.394
1934,4895.117
1935,5286.511
1936,6712.691
1937,6401.722
1938,4664.566
1939,7200.597
1940,7683.132
1941,6970.046
1942,3597.615
1943,5495.609
1944,6101.468
1945,4294.621
1946,4214.195
1947,5361.574
1948,3774.549
1949,3817.441
1950,5693.992
1951,4353.597
1952,5715.437
1953,4385.765
1954,6632.269
1955,6535.757
1956,5055.964
