State,2010Census,2017PopEstimate
Alabama,4779736,4874747
Alaska,710231,739795
Arizona,6392017,7016270
Arkansas,2915918,3004279
California,37253956,39536653
Colorado,5029196,5607154
Connecticut,3574097,3588184
Delaware,897934,961939
District of Columbia,601723,693972
Florida,18801310,20984400
Georgia,9687653,10429379
Hawaii,1360301,1427538
Idaho,1567582,1716943
Illinois,12830632,12802023
Indiana,6483802,6666818
Iowa,3046355,3145711
Kansas,2853118,2913123
Kentucky,4339367,4454189
Louisiana,4533372,4684333
Maine,1328361,1335907
Maryland,5773552,6052177
Massachusetts,6547629,6859819
Michigan,9883640,9962311
Minnesota,5303925,5576606
Mississippi,2967297,2984100
Missouri,5988927,6113532
Montana,989415,1050493
Nebraska,1826341,1920076
Nevada,2700551,2998039
New Hampshire,1316470,1342795
New Jersey,8791894,9005644
New Mexico,2059179,2088070
New York,19378102,19849399
North Carolina,9535483,10273419
North Dakota,672591,755393
Ohio,11536504,11658609
Oklahoma,3751351,3930864
Oregon,3831074,4142776
Pennsylvania,12702379,12805537
Rhode Island,1052567,1059639
South Carolina,4625364,5024369
South Dakota,814180,869666
Tennessee,6346105,6715984
Texas,25145561,28304596
Utah,2763885,3101833
Vermont,625741,623657
Virginia,8001024,8470020
Washington,6724540,7405743
West Virginia,1852994,1815857
Wisconsin,5686986,5795483
Wyoming,563626,579315
