Month,Price
2/1/99,1.862
3/1/99,1.834
4/1/99,1.833
5/1/99,1.812
6/1/99,1.815
7/1/99,1.81
8/1/99,1.826
9/1/99,1.852
10/1/99,1.866
11/1/99,1.863
12/1/99,1.882
1/1/00,1.903
2/1/00,1.894
3/1/00,1.911
4/1/00,1.925
5/1/00,1.921
6/1/00,1.955
7/1/00,1.954
8/1/00,1.953
9/1/00,1.946
10/1/00,1.959
11/1/00,1.952
12/1/00,1.976
1/1/01,2.037
2/1/01,2.059
3/1/01,2.057
4/1/01,2.052
5/1/01,2.113
6/1/01,2.157
7/1/01,2.114
8/1/01,2.101
9/1/01,2.15
10/1/01,2.132
11/1/01,2.143
12/1/01,2.161
1/1/02,2.152
2/1/02,2.214
3/1/02,2.196
4/1/02,2.097
5/1/02,2.145
6/1/02,2.098
7/1/02,2.138
8/1/02,2.175
9/1/02,2.065
10/1/02,2.116
11/1/02,2.086
12/1/02,2.121
1/1/03,2.131
2/1/03,2.203
3/1/03,2.196
4/1/03,2.206
5/1/03,2.191
6/1/03,2.239
7/1/03,2.194
8/1/03,2.22
9/1/03,2.286
10/1/03,2.35
11/1/03,2.491
12/1/03,2.621
1/1/04,2.585
2/1/04,2.558
3/1/04,2.473
4/1/04,2.486
5/1/04,2.522
6/1/04,2.485
7/1/04,2.462
8/1/04,2.537
9/1/04,2.512
10/1/04,2.484
11/1/04,2.461
12/1/04,2.465
1/1/05,2.478
2/1/05,2.531
3/1/05,2.519
4/1/05,2.504
5/1/05,2.572
6/1/05,2.542
7/1/05,2.541
8/1/05,2.502
9/1/05,2.535
10/1/05,2.564
11/1/05,2.568
12/1/05,2.606
1/1/06,2.607
2/1/06,2.556
3/1/06,2.568
4/1/06,2.599
5/1/06,2.508
6/1/06,2.543
7/1/06,2.459
8/1/06,2.543
9/1/06,2.508
10/1/06,2.542
11/1/06,2.564
12/1/06,2.606
1/1/07,2.63
2/1/07,2.639
3/1/07,2.628
4/1/07,2.676
5/1/07,2.766
6/1/07,2.739
7/1/07,2.734
8/1/07,2.695
9/1/07,2.744
10/1/07,2.705
11/1/07,2.738
12/1/07,2.702
1/1/08,2.725
2/1/08,2.791
3/1/08,2.832
4/1/08,2.829
5/1/08,2.798
6/1/08,2.835
7/1/08,2.785
8/1/08,2.964
9/1/08,2.981
10/1/08,2.956
11/1/08,2.987
12/1/08,2.999
1/1/09,2.961
2/1/09,3.019
3/1/09,2.976
4/1/09,2.994
5/1/09,2.876
6/1/09,2.873
7/1/09,2.8
8/1/09,2.843
9/1/09,2.782
10/1/09,2.785
11/1/09,2.797
12/1/09,2.828
1/1/10,2.825
2/1/10,2.881
3/1/10,2.824
4/1/10,2.89
5/1/10,2.921
6/1/10,2.965
7/1/10,2.936
8/1/10,2.849
9/1/10,2.915
10/1/10,2.978
11/1/10,2.949
12/1/10,2.932
1/1/11,2.991
2/1/11,3.058
3/1/11,3.151
4/1/11,3.25
5/1/11,3.277
6/1/11,3.211
7/1/11,3.272
8/1/11,3.231
9/1/11,3.105
10/1/11,3.218
11/1/11,3.197
12/1/11,3.265
1/1/12,3.292
2/1/12,3.294
3/1/12,3.366
4/1/12,3.327
5/1/12,3.379
6/1/12,3.448
7/1/12,3.449
8/1/12,3.447
9/1/12,3.482
10/1/12,3.514
11/1/12,3.46
12/1/12,3.464
1/1/13,3.406
2/1/13,3.408
3/1/13,3.417
4/1/13,3.479
5/1/13,3.461
6/1/13,3.403
7/1/13,3.423
8/1/13,3.511
9/1/13,3.445
10/1/13,3.492
11/1/13,3.61
12/1/13,3.585
1/1/14,3.586
2/1/14,3.733
3/1/14,3.745
4/1/14,3.886
5/1/14,3.849
6/1/14,3.907
7/1/14,3.917
8/1/14,4.024
9/1/14,4.201
10/1/14,4.294
11/1/14,4.26
12/1/14,4.217
1/1/15,4.375
2/1/15,4.403
3/1/15,4.364
4/1/15,4.323
5/1/15,4.308
6/1/15,4.324
7/1/15,4.266
8/1/15,4.222
9/1/15,4.195
10/1/15,4.119
11/1/15,4.082
12/1/15,4.025
1/1/16,4.019
2/1/16,3.945
3/1/16,3.929
4/1/16,3.933
5/1/16,3.902
6/1/16,3.84
7/1/16,3.807
8/1/16,3.912
9/1/16,3.791
10/1/16,3.742
11/1/16,3.703
12/1/16,3.619
1/1/17,3.621
2/1/17,3.549
3/1/17,3.59
4/1/17,3.675
5/1/17,3.645
6/1/17,3.768
7/1/17,3.866
8/1/17,3.785
9/1/17,3.801
10/1/17,3.703
11/1/17,3.775
12/1/17,3.729
1/1/18,3.668
2/1/18,3.659
3/1/18,3.728
4/1/18,3.775
5/1/18,3.688
6/1/18,3.824
7/1/18,3.786
8/1/18,3.738
9/1/18,3.701
10/1/18,3.692
11/1/18,3.745
12/1/18,3.709
1/1/19,3.727
2/1/19,3.847
